iter	RMSE
0	3328.828451
1	2809.359873
2	2409.652399
3	2114.159812
4	1894.667478
5	1737.613912
6	1626.010014
7	1548.313702
8	1495.529879
9	1458.427309
10	1432.341832
11	1414.854566
12	1404.02155
13	1394.94401
14	1389.187869
15	1384.255346
16	1380.606961
17	1378.72358
18	1376.340816
19	1374.677041
20	1373.126616
21	1371.842598
22	1370.840127
23	1370.178282
24	1368.96414
25	1368.180526
26	1367.115771
27	1366.836386
28	1365.870103
29	1365.074193
30	1364.378371
31	1363.97613
32	1363.351764
33	1362.788573
34	1362.351164
35	1362.021198
36	1361.70231
37	1360.492869
38	1359.822484
39	1359.431826
40	1358.825122
41	1358.20132
42	1357.708807
43	1356.56029
44	1356.117625
45	1355.852719
46	1355.621716
47	1355.322142
48	1354.550765
49	1353.631006
50	1352.782371
51	1352.350647
52	1351.951921
53	1351.214168
54	1350.174057
55	1349.639613
56	1348.925533
57	1348.245631
58	1347.864087
59	1347.618298
60	1346.286849
61	1345.715105
62	1344.466609
63	1344.084106
64	1342.960345
65	1342.631208
66	1342.326288
67	1342.171452
68	1341.761297
69	1341.635581
70	1340.927009
71	1339.82434
72	1339.384377
73	1338.404773
74	1337.428628
75	1337.285427
76	1337.029018
77	1336.279765
78	1336.152314
79	1335.145134
80	1334.726775
81	1334.324211
82	1333.168493
83	1332.419178
84	1332.07657
85	1331.772766
86	1330.773468
87	1329.995094
88	1329.319187
89	1328.214856
90	1326.992411
91	1326.601267
92	1326.478354
93	1325.360204
94	1324.461623
95	1324.347516
96	1323.478055
97	1322.599594
98	1321.809082
99	1321.523718
