iter	Passed	Remaining
0	124	12343
1	131	6467
2	138	4469
3	144	3471
4	150	2868
5	157	2462
6	163	2173
7	174	2011
8	182	1849
9	191	1719
10	199	1610
11	207	1519
12	215	1439
13	223	1371
14	231	1312
15	239	1257
16	247	1208
17	255	1164
18	263	1125
19	270	1082
20	276	1040
21	282	1002
22	288	966
23	294	932
24	300	901
25	306	872
26	312	845
27	318	818
28	324	794
29	330	771
30	336	749
31	342	728
32	348	708
33	355	689
34	361	671
35	367	653
36	374	638
37	381	622
38	388	608
39	395	593
40	401	578
41	407	563
42	413	548
43	419	534
44	426	521
45	432	507
46	438	494
47	445	482
48	451	470
49	457	457
50	463	445
51	469	433
52	475	421
53	481	409
54	487	398
55	493	387
56	499	376
57	505	366
58	511	355
59	517	344
60	523	334
61	529	324
62	534	314
63	540	304
64	546	294
65	552	284
66	558	274
67	563	265
68	569	256
69	575	246
70	582	237
71	588	228
72	594	219
73	600	211
74	606	202
75	612	193
76	618	184
77	624	176
78	630	167
79	636	159
80	642	150
81	648	142
82	653	133
83	659	125
84	666	117
85	672	109
86	678	101
87	684	93
88	690	85
89	696	77
90	702	69
91	708	61
92	714	53
93	720	45
94	726	38
95	732	30
96	738	22
97	744	15
98	750	7
99	756	0
