iter	RMSE
0	3310.424269
1	2763.28069
2	2334.739599
3	2000.672766
4	1733.127729
5	1512.946229
6	1360.708898
7	1226.974932
8	1116.681295
9	1035.937967
10	971.1681163
11	920.3238707
12	887.2099841
13	848.9254863
14	819.9436035
15	795.7935024
16	775.5101218
17	754.8362201
18	740.3654586
19	729.7176204
20	714.7215799
21	703.5668305
22	694.2205918
23	686.596972
24	678.3490406
25	672.7115246
26	666.7462891
27	662.6449612
28	655.0288975
29	645.3253267
30	640.3606861
31	635.5024064
32	631.2122002
33	628.3368413
34	621.4103948
35	618.2180015
36	613.228145
37	609.2176621
38	606.7291022
39	599.0219619
40	597.4301359
41	594.9039575
42	592.7759883
43	588.9549398
44	587.3337412
45	585.9505408
46	584.0616092
47	582.8815936
48	581.7466538
49	580.1744778
50	575.4297875
51	573.584447
52	571.4986326
53	570.0890043
54	569.1100821
55	567.6094194
56	566.0699315
57	564.9841576
58	564.0124507
59	562.7725071
60	561.7556923
61	560.4665476
62	558.8828337
63	557.8225623
64	556.9531394
65	556.4316943
66	555.5691511
67	554.1332878
68	552.8799169
69	551.7670794
70	550.9503996
71	550.2345418
72	549.6345901
73	549.1326052
74	547.0393511
75	546.1668955
76	545.077729
77	543.9105936
78	543.2840726
79	542.6712032
80	541.0153304
81	540.3415357
82	539.6253264
83	538.9278713
84	538.2547106
85	537.6487443
86	536.6072861
87	536.1595104
88	535.1909573
89	534.1570729
90	533.1959128
91	532.9173303
92	532.4556344
93	532.058917
94	531.6278048
95	531.1533592
96	530.7212634
97	530.100973
98	529.6178611
99	529.2763669
100	528.9089044
101	527.8582111
102	526.9779221
103	526.6633926
104	525.8813157
105	525.4908243
106	525.3021523
107	524.4956083
108	523.6706807
109	523.2427719
110	522.3202874
111	521.6649435
112	521.1411402
113	520.4431701
114	520.196927
115	519.5656015
116	518.8948175
117	518.4208256
118	518.0802743
119	517.8983998
120	517.6688617
121	517.1038308
122	516.7340787
123	516.4051533
124	516.1771616
125	515.488991
126	515.1666529
127	514.5880782
128	514.0923425
129	513.2932164
130	512.4601031
131	511.9732125
132	511.6336489
133	511.0253994
134	510.377779
135	509.8769396
136	509.6438626
137	509.0025579
138	508.8229429
139	508.4011049
140	508.0202538
141	507.6525277
142	507.1695913
143	506.643191
144	506.4177076
145	505.8416556
146	505.5504307
147	505.2882474
148	504.8931307
149	504.787653
150	504.2739609
151	503.5528151
152	502.7806426
153	502.5489381
154	502.3253538
155	501.831514
156	501.4571856
157	500.8878241
158	500.3860203
159	499.9291651
160	499.3691008
161	498.6983786
162	498.3800083
163	498.1544066
164	497.875479
165	497.4444718
166	497.2518293
167	496.5580654
168	496.1351295
169	495.9172921
170	495.7713479
171	495.6320115
172	495.3859049
173	495.3007008
174	494.7863823
175	494.3168067
176	493.9653734
177	493.324668
178	493.0425329
179	492.2573693
180	492.2113747
181	491.6570448
182	491.266048
183	491.1766734
184	491.068396
185	490.6143422
186	490.3181543
187	490.0929777
188	489.7114484
189	489.2942233
190	489.2347293
191	488.9152934
192	488.5934574
193	488.0176825
194	487.5309974
195	487.2584363
196	487.0200495
197	486.6682903
198	486.2521773
199	486.1358124
200	485.7592589
201	485.5555858
202	485.2179329
203	484.9992119
204	484.7127544
205	484.6361428
206	484.3844671
207	484.2491869
208	484.0061609
209	483.6274387
210	483.1204029
211	482.7758976
212	482.6740443
213	482.2077419
214	482.1060202
215	481.9097215
216	481.7873997
217	481.4061399
218	481.0828067
219	480.7539662
220	480.4566741
221	480.115733
222	479.6925427
223	479.3631994
224	479.0442547
225	478.7366754
226	478.4338752
227	478.1819209
228	477.8893969
229	477.7677848
230	477.6101181
231	477.321441
232	477.1320495
233	476.9739505
234	476.7823541
235	476.4743907
236	475.9992267
237	475.5179961
238	474.9951719
239	474.703048
240	474.449627
241	473.883626
242	473.6313699
243	473.486446
244	473.3151793
245	473.1343988
246	472.9447256
247	472.7805137
248	472.4456318
249	471.9328618
250	471.5692028
251	471.2284922
252	471.0142595
253	470.7362962
254	470.4351636
255	470.355051
256	470.1496693
257	469.9330234
258	469.592982
259	469.3939329
260	469.0500681
261	468.8801464
262	468.7679451
263	468.5610912
264	468.1788322
265	467.9679138
266	467.7485913
267	467.6897389
268	467.5313067
269	467.2499451
270	466.9879308
271	466.8372445
272	466.5500224
273	466.241757
274	465.9875821
275	465.7718723
276	465.5573025
277	465.1046817
278	464.7878612
279	464.5979158
280	464.2987191
281	464.0473973
282	463.8289942
283	463.5244866
284	463.1272233
285	462.8976286
286	462.6908429
287	462.5273194
288	462.1668395
289	462.027214
290	461.8775315
291	461.6224399
292	461.4635898
293	461.1477316
294	460.8769543
295	460.7083896
296	460.4613458
297	460.1916782
298	459.9163
299	459.6879484
300	459.5298984
301	459.2719388
302	459.0319314
303	458.8677503
304	458.6348909
305	458.4722247
306	458.3536886
307	458.2655428
308	458.0364793
309	457.7843554
310	457.5501275
311	457.4247929
312	457.0220859
313	456.8345655
314	456.7310769
315	456.5731207
316	456.5024422
317	456.2602324
318	456.1865672
