iter	Passed	Remaining
0	251	251430
1	267	133353
2	276	92051
3	284	70929
4	291	57930
5	298	49389
6	304	43215
7	311	38593
8	318	35052
9	324	32145
10	330	29757
11	338	27829
12	344	26152
13	350	24715
14	357	23483
15	364	22432
16	371	21452
17	377	20585
18	383	19825
19	390	19125
20	396	18494
21	403	17921
22	409	17388
23	415	16896
24	422	16458
25	428	16057
26	435	15677
27	441	15333
28	448	15005
29	454	14695
30	460	14396
31	466	14125
32	473	13878
33	480	13645
34	486	13416
35	492	13196
36	499	12988
37	505	12797
38	511	12613
39	518	12446
40	524	12267
41	530	12106
42	537	11951
43	543	11809
44	549	11672
45	556	11538
46	563	11416
47	569	11293
48	575	11177
49	582	11059
50	588	10955
51	595	10855
52	601	10754
53	607	10650
54	614	10558
55	621	10471
56	627	10383
57	634	10297
58	640	10210
59	646	10128
60	652	10049
61	659	9970
62	665	9900
63	671	9826
64	678	9758
65	684	9692
66	691	9627
67	697	9565
68	704	9502
69	710	9438
70	716	9375
71	722	9316
72	729	9261
73	737	9234
74	746	9208
75	752	9152
76	763	9155
77	770	9106
78	776	9053
79	782	9000
80	789	8962
81	796	8914
82	803	8875
83	813	8865
84	819	8823
85	829	8812
86	835	8769
87	841	8725
88	848	8686
89	856	8657
90	865	8641
91	871	8603
92	877	8559
93	884	8521
94	891	8490
95	897	8447
96	904	8416
97	910	8378
98	917	8346
99	923	8314
100	931	8290
101	938	8258
102	944	8222
103	950	8186
104	956	8155
105	963	8124
106	970	8095
107	977	8076
108	984	8045
109	990	8012
110	996	7982
111	1002	7951
112	1009	7923
113	1016	7898
114	1025	7895
115	1032	7866
116	1038	7837
117	1044	7809
118	1051	7785
119	1058	7758
120	1064	7732
121	1070	7706
122	1077	7681
123	1083	7653
124	1089	7629
125	1096	7604
126	1102	7577
127	1108	7552
128	1114	7527
129	1121	7504
130	1127	7481
131	1134	7458
132	1141	7439
133	1147	7418
134	1154	7397
135	1160	7373
136	1167	7352
137	1173	7330
138	1179	7307
139	1186	7286
140	1192	7262
141	1198	7243
142	1205	7222
143	1211	7203
144	1217	7181
145	1223	7159
146	1230	7139
147	1237	7122
148	1243	7101
149	1249	7080
150	1255	7061
151	1262	7043
152	1268	7024
153	1275	7008
154	1282	6992
155	1288	6972
156	1295	6956
157	1302	6939
158	1308	6920
159	1314	6901
160	1321	6884
161	1327	6864
162	1333	6845
163	1339	6828
164	1345	6809
165	1351	6791
166	1358	6774
167	1364	6756
168	1370	6738
169	1376	6722
170	1382	6703
171	1388	6684
172	1394	6668
173	1401	6653
174	1407	6637
175	1414	6621
176	1421	6608
177	1427	6594
178	1434	6580
179	1441	6568
180	1447	6551
181	1453	6534
182	1464	6536
183	1471	6527
184	1479	6518
185	1485	6503
186	1492	6488
187	1498	6471
188	1504	6455
189	1510	6440
190	1516	6425
191	1522	6409
192	1529	6393
193	1535	6381
194	1543	6370
195	1549	6356
196	1555	6341
197	1562	6328
198	1569	6315
199	1574	6299
200	1581	6286
201	1588	6275
202	1594	6260
203	1601	6249
204	1608	6236
205	1614	6223
206	1620	6208
207	1626	6193
208	1633	6180
209	1639	6166
210	1645	6152
211	1651	6138
212	1659	6132
213	1668	6126
214	1676	6121
215	1684	6115
216	1692	6105
217	1698	6091
218	1704	6079
219	1714	6080
220	1721	6067
221	1727	6053
222	1733	6040
223	1740	6028
224	1746	6015
225	1753	6004
226	1760	5994
227	1766	5981
228	1776	5981
229	1783	5971
230	1789	5958
231	1796	5946
232	1803	5936
233	1811	5928
234	1817	5916
235	1823	5904
236	1830	5893
237	1836	5881
238	1843	5868
239	1849	5856
240	1855	5844
241	1861	5830
242	1868	5821
243	1875	5809
244	1881	5796
245	1888	5788
246	1895	5778
247	1901	5765
248	1907	5753
249	1914	5744
250	1921	5732
251	1927	5720
252	1934	5710
253	1941	5702
254	1950	5698
255	1958	5693
256	1965	5682
257	1971	5671
258	1978	5661
259	1985	5651
260	1991	5639
261	2000	5635
262	2008	5629
263	2016	5622
