iter	Passed	Remaining
0	8	8351
1	13	6783
2	19	6328
3	23	5952
4	28	5722
5	33	5534
6	37	5351
7	42	5241
8	46	5160
9	50	5033
10	54	4941
11	60	4951
12	64	4866
13	67	4788
14	72	4754
15	76	4712
16	83	4845
17	88	4824
18	93	4810
19	101	4965
20	105	4922
21	109	4861
22	113	4835
23	117	4789
24	121	4741
25	125	4712
26	129	4675
27	133	4629
28	137	4599
29	141	4561
30	144	4525
31	148	4489
32	151	4451
33	155	4417
34	159	4387
35	162	4358
36	166	4330
37	170	4304
38	173	4274
39	177	4248
40	180	4221
41	183	4196
42	187	4177
43	191	4160
44	194	4137
45	198	4116
46	207	4202
47	212	4211
48	217	4219
49	221	4213
50	225	4191
51	228	4167
52	231	4144
53	235	4123
54	238	4101
55	241	4079
56	245	4058
57	248	4038
58	251	4018
59	255	4002
60	258	3986
61	262	3967
62	265	3950
63	268	3933
64	272	3916
65	275	3900
66	278	3885
67	282	3869
68	285	3854
69	288	3839
70	292	3824
71	295	3810
72	299	3797
73	302	3784
74	305	3771
75	309	3763
76	312	3750
77	316	3738
78	319	3724
79	322	3712
80	326	3701
81	329	3689
82	332	3678
83	336	3667
84	339	3655
85	342	3644
86	346	3633
87	349	3623
88	352	3612
89	356	3602
90	359	3591
91	362	3581
92	366	3571
93	369	3562
94	372	3553
95	376	3543
96	379	3534
97	382	3524
98	386	3515
99	389	3506
100	392	3497
101	396	3488
102	399	3480
103	403	3472
104	406	3464
105	409	3455
106	413	3447
107	416	3439
108	419	3431
109	423	3423
110	426	3416
111	430	3411
112	433	3405
113	437	3400
114	441	3394
115	444	3389
116	448	3382
117	451	3376
118	455	3371
119	458	3364
120	462	3357
121	465	3351
122	469	3346
123	473	3341
124	476	3335
125	480	3329
126	483	3323
127	487	3318
128	490	3312
129	494	3306
130	497	3299
131	500	3293
132	504	3286
133	507	3280
134	510	3273
135	514	3266
136	517	3259
137	520	3253
138	524	3247
139	527	3242
140	531	3236
141	534	3230
142	538	3225
143	541	3219
144	545	3214
145	548	3208
146	552	3203
147	555	3198
148	559	3193
149	562	3187
150	566	3182
151	569	3176
152	572	3169
153	575	3163
154	579	3160
155	583	3155
156	586	3149
157	589	3143
158	593	3138
159	596	3132
160	600	3127
161	603	3123
162	607	3118
163	610	3113
164	614	3108
165	617	3103
166	621	3099
167	624	3094
168	628	3090
169	631	3085
170	635	3080
171	638	3075
172	642	3070
173	646	3066
174	649	3064
175	653	3058
176	656	3053
177	659	3047
178	663	3042
179	666	3036
180	670	3031
181	673	3028
182	677	3024
183	680	3019
184	684	3014
185	687	3009
186	690	3003
187	694	2998
188	697	2993
189	702	2996
190	708	3000
191	714	3006
192	719	3009
193	725	3013
194	731	3018
195	736	3022
196	742	3026
197	749	3034
198	754	3036
199	760	3041
200	767	3050
201	771	3046
202	774	3040
203	783	3056
204	788	3059
205	794	3061
206	806	3088
207	811	3090
208	816	3091
209	822	3092
210	827	3094
211	832	3094
212	836	3091
213	840	3085
214	843	3080
215	847	3075
216	850	3069
217	859	3083
218	865	3086
219	871	3088
220	879	3101
221	885	3101
222	891	3105
223	896	3105
224	901	3105
225	906	3105
226	911	3105
227	916	3104
228	922	3105
229	927	3105
230	932	3105
231	937	3104
232	943	3104
233	947	3102
234	951	3097
235	954	3091
236	958	3085
237	961	3079
238	965	3074
239	968	3068
240	972	3062
241	975	3056
242	979	3050
243	982	3045
244	986	3039
245	989	3033
246	993	3028
247	996	3022
248	1000	3017
249	1003	3011
250	1007	3005
251	1011	3003
252	1016	3001
253	1021	3000
254	1026	2999
255	1030	2993
256	1033	2988
257	1036	2982
258	1040	2976
259	1043	2970
260	1047	2965
261	1050	2959
262	1056	2959
263	1059	2955
264	1063	2949
265	1067	2944
266	1071	2942
267	1077	2941
268	1080	2937
269	1084	2931
270	1088	2927
271	1091	2922
272	1095	2917
273	1098	2911
274	1102	2906
275	1106	2901
276	1109	2896
277	1112	2890
278	1116	2884
279	1119	2879
280	1123	2873
281	1126	2868
282	1130	2863
283	1133	2858
284	1137	2852
285	1140	2847
286	1144	2842
287	1147	2837
288	1151	2832
289	1154	2827
290	1158	2821
291	1161	2816
292	1165	2812
293	1169	2807
294	1172	2802
295	1176	2797
296	1179	2792
297	1183	2787
298	1186	2782
299	1190	2777
300	1193	2771
301	1197	2766
302	1200	2762
303	1204	2756
304	1207	2751
305	1210	2746
306	1214	2741
307	1217	2735
308	1221	2730
309	1224	2725
310	1227	2720
311	1231	2715
312	1234	2710
313	1238	2705
314	1241	2700
315	1245	2695
316	1248	2690
317	1252	2685
318	1255	2680
319	1259	2675
320	1262	2671
321	1266	2666
322	1269	2661
323	1273	2656
324	1276	2651
325	1279	2646
326	1283	2641
327	1287	2637
328	1290	2632
329	1293	2626
330	1297	2622
331	1300	2617
332	1304	2612
333	1307	2607
334	1311	2603
335	1314	2598
336	1318	2593
337	1321	2588
338	1325	2583
339	1328	2578
340	1331	2573
341	1335	2568
342	1338	2564
343	1342	2559
344	1345	2554
345	1348	2549
346	1352	2544
347	1355	2540
348	1359	2535
349	1362	2530
350	1366	2526
351	1369	2521
352	1373	2517
353	1376	2512
354	1381	2510
355	1385	2505
356	1388	2501
357	1392	2496
358	1395	2492
359	1399	2487
360	1402	2482
361	1406	2478
362	1409	2473
363	1413	2469
364	1416	2464
365	1420	2460
366	1423	2455
367	1427	2451
368	1430	2446
369	1434	2441
370	1437	2437
371	1440	2432
372	1444	2428
373	1447	2423
374	1451	2419
375	1454	2414
376	1458	2409
377	1461	2405
378	1465	2400
379	1468	2396
380	1472	2392
381	1475	2387
382	1479	2383
383	1483	2379
384	1486	2375
385	1490	2370
386	1493	2366
387	1497	2361
388	1500	2357
389	1504	2353
390	1508	2348
391	1511	2344
392	1515	2340
393	1518	2335
394	1521	2330
395	1525	2326
396	1528	2322
397	1532	2317
398	1535	2313
399	1539	2308
400	1542	2304
401	1546	2299
402	1549	2295
403	1553	2292
404	1557	2287
405	1560	2283
406	1564	2279
407	1567	2275
408	1571	2270
409	1575	2266
410	1578	2262
411	1582	2258
412	1585	2253
413	1589	2249
414	1592	2245
415	1596	2241
416	1599	2236
417	1603	2232
418	1606	2228
419	1610	2223
420	1613	2219
421	1617	2215
422	1620	2210
423	1624	2206
424	1627	2202
425	1631	2198
426	1635	2194
427	1638	2190
428	1642	2185
429	1645	2181
430	1649	2177
431	1652	2173
432	1656	2169
433	1659	2164
434	1663	2160
435	1667	2156
436	1670	2152
437	1674	2148
438	1677	2144
439	1681	2140
440	1684	2135
441	1688	2131
442	1691	2127
443	1695	2122
444	1698	2118
445	1702	2114
446	1705	2110
447	1709	2106
448	1712	2101
449	1716	2097
450	1719	2093
451	1723	2089
452	1726	2085
453	1730	2080
454	1733	2076
455	1737	2072
456	1740	2068
457	1744	2064
458	1747	2060
459	1751	2055
460	1754	2051
461	1758	2047
462	1763	2045
463	1767	2041
464	1771	2037
465	1774	2033
466	1778	2029
467	1781	2025
468	1785	2021
469	1788	2017
470	1792	2013
471	1795	2008
472	1799	2004
473	1802	2000
474	1807	1997
475	1812	1995
476	1817	1993
477	1822	1990
478	1831	1991
479	1836	1989
480	1841	1987
481	1847	1985
482	1856	1986
483	1864	1987
484	1869	1985
485	1876	1984
486	1880	1981
487	1885	1978
488	1890	1975
489	1897	1974
490	1900	1970
491	1904	1966
492	1907	1962
493	1912	1958
494	1920	1959
495	1924	1955
496	1928	1951
497	1931	1947
498	1935	1943
499	1938	1938
500	1942	1934
501	1946	1930
502	1949	1926
503	1953	1922
504	1956	1918
505	1960	1914
506	1964	1910
507	1967	1905
508	1972	1902
509	1975	1898
510	1979	1893
511	1982	1889
512	1986	1886
513	1990	1881
514	1993	1877
515	1997	1873
516	2000	1869
517	2004	1865
518	2008	1861
519	2011	1856
520	2015	1852
521	2018	1848
522	2022	1844
523	2027	1841
524	2031	1837
525	2034	1833
526	2038	1829
527	2042	1825
528	2047	1822
529	2051	1819
530	2054	1814
531	2058	1811
532	2062	1806
533	2065	1802
