iter	RMSE
0	116.0395756
1	115.5141732
2	115.0705613
3	114.6684498
4	114.3664311
5	114.0959648
6	113.8707955
7	113.6613705
8	113.4719421
9	113.3210735
10	113.1863101
11	113.0345849
12	112.9190526
13	112.8186066
14	112.7040271
15	112.5758336
16	112.4821952
17	112.3547787
18	112.2712038
19	112.196124
20	112.1305271
21	112.0410983
22	111.9531437
23	111.8607889
24	111.8100269
25	111.7579734
26	111.7078082
27	111.6609539
28	111.5951691
29	111.530679
30	111.4597201
31	111.4206107
32	111.377867
33	111.3358524
34	111.3036473
35	111.2598042
36	111.2250476
37	111.1675285
38	111.1339423
39	111.0934305
40	110.9716355
41	110.9311687
42	110.8170575
43	110.7420678
44	110.6940608
45	110.6485994
46	110.6094035
47	110.581974
48	110.5198112
49	110.4358588
50	110.3628524
51	110.3371661
52	110.284385
53	110.265002
54	110.2411667
55	110.2141704
56	110.183883
57	110.1545617
58	110.1294669
59	110.1092776
60	110.0854097
61	110.0562545
62	110.0115022
63	109.9825755
64	109.9502772
65	109.9142253
66	109.8898268
67	109.8645017
68	109.8448574
69	109.8256636
70	109.7898535
71	109.752081
72	109.7354598
73	109.6806619
74	109.6549953
75	109.6308239
76	109.5948213
77	109.5764128
78	109.5525528
79	109.5288684
80	109.4929014
81	109.4672807
82	109.4500689
83	109.4294264
84	109.4128367
85	109.3790176
86	109.3544153
87	109.3328255
88	109.2971207
89	109.2609507
90	109.2338957
91	109.1907604
92	109.1565928
93	109.1284803
94	109.1014572
95	109.0683084
96	109.029912
97	109.0045956
98	108.9229694
99	108.8806095
100	108.8581356
101	108.8320427
102	108.8027123
103	108.7303015
104	108.6939161
105	108.6701408
106	108.6337715
107	108.6073396
108	108.5759238
109	108.5264174
110	108.4679005
111	108.4095587
112	108.3742057
113	108.3573983
114	108.3304906
115	108.3112032
116	108.2593168
117	108.2408625
118	108.2107178
119	108.1788523
120	108.1577396
121	108.1288059
122	108.0750031
123	108.0444054
124	108.0166005
125	107.9739251
126	107.945885
127	107.9170353
128	107.8718605
129	107.8300377
130	107.818313
131	107.7869755
132	107.7650747
133	107.7315792
134	107.7083006
135	107.6919966
136	107.672369
137	107.6582139
138	107.569813
139	107.5420213
140	107.5133718
141	107.4095208
142	107.3935488
143	107.3632538
144	107.3484483
145	107.3274958
146	107.3073306
147	107.2931936
148	107.2698951
149	107.234724
150	107.2083151
151	107.1956957
152	107.1733753
153	107.1590809
154	107.1325867
155	106.9923547
156	106.9683022
157	106.9474909
158	106.8970046
159	106.8716903
160	106.855144
161	106.8327681
162	106.8041704
163	106.7825876
164	106.7515812
165	106.6738348
166	106.650498
167	106.5969376
168	106.5727103
169	106.5597607
170	106.5431419
171	106.5267386
172	106.5060239
173	106.4764904
174	106.4634495
175	106.4375805
176	106.3794764
177	106.3524682
178	106.319021
179	106.3068841
180	106.2942385
181	106.2795941
182	106.2620838
183	106.1820958
184	106.1606209
185	106.1480524
186	106.1249903
187	106.1116966
188	106.0536747
189	106.0391119
190	105.9976183
191	105.9542158
192	105.9342885
193	105.9045126
194	105.896755
195	105.8794873
196	105.8566054
197	105.828946
198	105.8112304
199	105.7777645
200	105.760376
201	105.7311966
202	105.7045586
203	105.6808243
204	105.65511
205	105.6357193
206	105.5923691
207	105.5714504
208	105.5383269
209	105.4927738
210	105.4746019
211	105.4499926
212	105.4277662
213	105.4078724
214	105.3958659
215	105.3609902
216	105.2793668
217	105.2591017
218	105.151741
219	105.1223494
220	105.1097703
221	105.0747653
222	105.0643353
223	105.0356774
224	105.0172239
225	105.002194
226	104.9929546
227	104.8967739
228	104.881156
229	104.8593218
230	104.7475252
231	104.7366836
232	104.726281
233	104.6649109
234	104.6447655
235	104.5997318
236	104.5766581
237	104.5624749
238	104.5276943
239	104.5111039
240	104.4930911
241	104.487985
242	104.4751299
243	104.4561274
244	104.4366735
245	104.428992
246	104.386959
247	104.3670476
248	104.3577382
249	104.3188993
250	104.3104019
251	104.2905199
252	104.2641667
253	104.2072388
254	104.1931699
255	104.1806367
256	104.1662194
257	104.1460021
258	104.1267399
259	104.1104215
260	104.0982796
261	104.0760507
262	104.0506126
263	103.997836
264	103.9899483
265	103.9714913
266	103.958556
