iter	Passed	Remaining
0	74	74660
1	91	45893
2	106	35294
3	119	29785
4	133	26490
5	146	24277
6	160	22730
7	173	21538
8	186	20577
9	200	19853
10	213	19171
11	227	18696
12	239	18215
13	252	17810
14	266	17471
15	279	17163
16	292	16921
17	305	16684
18	318	16444
19	331	16231
20	343	16025
21	356	15867
22	370	15728
23	383	15576
24	395	15423
25	408	15298
26	421	15191
27	434	15089
28	447	14990
29	461	14922
30	477	14937
31	494	14944
32	507	14884
33	520	14786
34	535	14764
35	548	14698
36	562	14637
37	575	14566
38	588	14489
39	600	14411
40	614	14378
41	628	14331
42	641	14266
43	654	14217
44	668	14181
45	681	14128
46	693	14059
47	706	14009
48	719	13971
49	738	14027
50	751	13991
51	766	13976
52	780	13939
53	793	13895
54	805	13843
55	818	13800
56	832	13768
57	846	13741
58	860	13721
59	877	13744
60	894	13767
61	912	13803
62	929	13826
63	943	13792
64	957	13777
65	975	13808
66	988	13769
67	1002	13739
68	1015	13698
69	1028	13664
70	1041	13627
71	1055	13602
72	1068	13573
73	1081	13538
74	1095	13507
75	1108	13481
76	1121	13447
77	1134	13410
78	1147	13379
79	1160	13350
80	1179	13381
81	1193	13357
82	1206	13328
83	1218	13290
84	1234	13293
85	1253	13320
86	1272	13348
87	1289	13366
88	1304	13354
89	1317	13324
90	1330	13293
91	1345	13274
92	1358	13248
93	1371	13215
94	1385	13197
95	1398	13165
96	1411	13136
97	1424	13114
98	1438	13092
99	1451	13060
100	1464	13033
101	1476	13002
102	1490	12979
103	1504	12961
104	1521	12972
105	1536	12961
106	1554	12969
107	1567	12948
108	1580	12922
109	1593	12893
110	1612	12911
111	1625	12890
112	1640	12879
113	1654	12855
114	1667	12835
115	1680	12809
116	1694	12787
117	1707	12764
118	1724	12769
119	1739	12758
120	1754	12743
121	1768	12728
122	1781	12703
123	1795	12687
124	1808	12661
125	1821	12635
126	1835	12615
127	1848	12593
128	1864	12590
129	1877	12564
130	1890	12537
131	1903	12514
132	1916	12494
133	1929	12470
134	1943	12454
135	1959	12448
136	1977	12456
137	1995	12464
138	2014	12476
139	2027	12455
140	2041	12438
141	2055	12419
142	2069	12400
143	2082	12378
144	2095	12355
145	2108	12334
146	2122	12316
147	2137	12302
148	2150	12279
149	2162	12254
150	2175	12232
151	2188	12207
152	2201	12184
153	2213	12158
154	2227	12144
155	2241	12125
156	2259	12129
157	2275	12123
158	2289	12108
159	2302	12086
160	2314	12061
161	2328	12043
162	2341	12025
163	2355	12008
164	2368	11985
165	2382	11969
166	2396	11952
167	2412	11945
168	2425	11926
169	2438	11903
170	2451	11885
171	2465	11870
172	2479	11852
173	2494	11840
174	2512	11843
175	2530	11847
176	2547	11846
177	2565	11849
178	2583	11847
179	2600	11844
180	2614	11828
181	2626	11806
182	2640	11789
183	2654	11773
184	2668	11753
185	2684	11748
186	2709	11778
187	2734	11809
188	2775	11910
189	2814	11997
190	2849	12067
191	2892	12173
192	2913	12181
193	2928	12166
194	2943	12149
195	2956	12129
196	2970	12106
197	2982	12082
198	2995	12055
199	3009	12037
200	3022	12015
201	3036	11996
202	3050	11977
203	3063	11955
204	3079	11941
205	3093	11922
206	3107	11906
207	3123	11892
208	3137	11873
209	3150	11851
210	3164	11832
211	3180	11821
212	3194	11803
213	3209	11789
214	3224	11774
215	3239	11759
216	3253	11737
217	3266	11716
218	3280	11699
219	3295	11683
220	3308	11663
221	3323	11647
222	3336	11626
223	3351	11610
224	3364	11589
225	3379	11573
226	3393	11555
227	3408	11541
228	3422	11524
229	3438	11510
230	3451	11490
231	3466	11474
232	3480	11456
233	3494	11437
234	3512	11433
235	3527	11420
236	3544	11409
237	3558	11391
238	3572	11375
239	3587	11359
240	3601	11343
241	3614	11320
242	3628	11303
243	3643	11288
244	3658	11272
245	3671	11252
246	3683	11230
247	3699	11219
248	3712	11197
249	3731	11193
250	3744	11172
251	3757	11153
252	3771	11134
253	3784	11113
254	3796	11090
255	3830	11131
256	3852	11137
257	3875	11146
258	3891	11133
259	3904	11112
260	3917	11092
261	3931	11073
262	3944	11053
263	3957	11032
264	3969	11010
265	3984	10994
266	3997	10973
267	4012	10958
268	4024	10937
269	4036	10913
270	4049	10892
271	4061	10870
272	4074	10850
273	4087	10829
274	4101	10811
275	4120	10808
276	4135	10792
